VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
cho moi,284.83,2005,284830,An Giang,District
chau doc,77.901,2005,77901,An Giang,City
chau phu,263.533,2005,263533,An Giang,District
chau thanh,181.573,2005,181573,An Giang,District
long xuyen,279.439,2005,279439,An Giang,City
phu tan,166.112,2005,166112,An Giang,District
tinh bien,224.525,2005,224525,An Giang,District
tan chau,156.672,2005,156672,An Giang,Town
thoai son,190.144,2005,190144,An Giang,District
tri ton,254.615,2005,254615,An Giang,District
bac lieu,134.581,2005,134581,Bạc Liêu,City
dong hai,116.313,2005,116313,Bạc Liêu,District
gia rai,154.29,2005,154290,Bạc Liêu,Town
hong dan,110.479,2005,110479,Bạc Liêu,District
hoa binh,103.227,2005,103227,Bạc Liêu,District
